date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:07	24177/24177	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Dec%202021%2017:44:05%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index.html?_ga=2.131612937.744886612.1640454174-978852616.1640454174	C:/My%20Web%20Sites/Tour%20Travels/demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index55ea.html	(from )
23:14:07	1002/1002	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Dec%202021%2017:44:06%20GMT	https://demo.w3layouts.com/robots.txt		(from )
23:14:08	146010/146010	---M-Z	200	added ('OK')	text/css	etag:%221520403720%22	https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/css/bootstrap.css	C:/My%20Web%20Sites/Tour%20Travels/demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/css/bootstrap.css	(from https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index.html?_ga=2.131612937.744886612.1640454174-978852616.1640454174)
23:14:08	61984/61984	---M-Z	200	added ('OK')	text/css	etag:%221520403720%22	https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/css/style.css	C:/My%20Web%20Sites/Tour%20Travels/demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/css/style.css	(from https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index.html?_ga=2.131612937.744886612.1640454174-978852616.1640454174)
23:14:08	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%221520403720%22	https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/css/font-awesome.css	C:/My%20Web%20Sites/Tour%20Travels/demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/css/font-awesome.css	(from https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index.html?_ga=2.131612937.744886612.1640454174-978852616.1640454174)
23:14:09	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221611161698%22	https://demo.w3layouts.com/assests/css/font-awesome.min.css	C:/My%20Web%20Sites/Tour%20Travels/demo.w3layouts.com/assests/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index.html?_ga=2.131612937.744886612.1640454174-978852616.1640454174)
23:14:09	65044/65044	---MCZ	200	added ('OK')	application/javascript	etag:W/%2248420d37dca9d7a3058e1549fedd6c9b%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/Tour%20Travels/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index.html?_ga=2.131612937.744886612.1640454174-978852616.1640454174)
23:14:10	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/My%20Web%20Sites/Tour%20Travels/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index.html?_ga=2.131612937.744886612.1640454174-978852616.1640454174)
23:14:11	24177/24177	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Dec%202021%2017:44:10%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index.html	C:/My%20Web%20Sites/Tour%20Travels/demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index.html	(from https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index.html?_ga=2.131612937.744886612.1640454174-978852616.1640454174)
23:14:12	23647/23647	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Dec%202021%2017:44:10%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/about.html	C:/My%20Web%20Sites/Tour%20Travels/demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/about.html	(from https://demo.w3layouts.com/demos_new/template_demo/07-03-2018/travel_tours-demo_Free/1860349693/web/index.html?_ga=2.131612937.744886612.1640454174-978852616.1640454174)
